"symbol","logFC","P.Value","chr","description"
"Adamts2",-0.397351926317055,0.2552,"11","a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 2"
"Thsd1",-0.397288102354363,0.0276,"8","thrombospondin, type I, domain 1"
"Ppp1r14b",0.397238130258018,0.298,"19","protein phosphatase 1, regulatory inhibitor subunit 14B"
"Prtg",-0.397025657653446,0.0696,"9","protogenin"
"Usp25",-0.39697290042777,0.2936,"16","ubiquitin specific peptidase 25"
"Ndufa2",0.396806438968321,0.4244,"18","NADH:ubiquinone oxidoreductase subunit A2"
"Alox12b",-0.396174752159012,0.1824,"11","arachidonate 12-lipoxygenase, 12R type"
"Ttc9b",0.396121206983012,0.3824,"7","tetratricopeptide repeat domain 9B"
"Alpl",-0.395768089400547,0.3524,"4","alkaline phosphatase, liver/bone/kidney"
"Ror1",-0.395335375988174,0.3744,"4","receptor tyrosine kinase-like orphan receptor 1"
"Tppp3",0.395039575459453,0.1916,"8","tubulin polymerization-promoting protein family member 3"
"A230077H06Rik",-0.394979813430601,0.084,"7","RIKEN cDNA A230077H06 gene"
"Uba6",-0.394742570038414,0.4256,"5","ubiquitin-like modifier activating enzyme 6"
"Cdh9",-0.394117504343939,0.3288,"15","cadherin 9"
"Noxo1",0.393895182727851,0.0684,"17","NADPH oxidase organizer 1"
"Arhgdib",-0.393233754279353,0.244,"6","Rho, GDP dissociation inhibitor (GDI) beta"
"Cldn2",-0.3929467253925,0.7432,"X","claudin 2"
"Col5a1",-0.392887561313335,0.092,"2","collagen, type V, alpha 1"
"Asap2",-0.392863234669432,0.1128,"12","ArfGAP with SH3 domain, ankyrin repeat and PH domain 2"
"Gucy1a2",-0.390777700355136,0.4684,"9","guanylate cyclase 1, soluble, alpha 2"
"Zkscan8",-0.390628159931429,0.126,"13","zinc finger with KRAB and SCAN domains 8"
"Arid4a",-0.390421963190234,0.5012,"12","AT rich interactive domain 4A (RBP1-like)"
"Dnajc21",-0.390005128315274,0,"15","DnaJ heat shock protein family (Hsp40) member C21"
"Lingo3",0.38991017207196,0.166,"10","leucine rich repeat and Ig domain containing 3"
"Rreb1",-0.389446766932587,0.514,"13","ras responsive element binding protein 1"
"Zfp804a",-0.389244129330567,0.2416,"2","zinc finger protein 804A"
"Slc38a5",0.388999696367684,0.1828,"X","solute carrier family 38, member 5"
"Atp13a3",-0.388944916416903,0.102,"16","ATPase type 13A3"
"Gm15612",0.388679045275326,0.1724,"6","predicted gene 15612"
