"symbol","logFC","P.Value","chr","description"
"Tnnt2",0.341016037765787,0.1672,"1","troponin T2, cardiac"
"Gpr63",-0.340714040684117,0.3944,"4","G protein-coupled receptor 63"
"Dmp1",0.340552338185175,0.0616,"5","dentin matrix protein 1"
"Sat1",0.340530855105184,0.0088,"X","spermidine/spermine N1-acetyl transferase 1"
"Eps8l1",-0.339366793356592,0.5496,"7","EPS8-like 1"
"Fcrls",-0.33907794107018,0.3952,"3","Fc receptor-like S, scavenger receptor"
"Zbtb20",-0.338274964173037,0.2876,"16","zinc finger and BTB domain containing 20"
"2700054A10Rik",0.338268576582268,0.25,"17","RIKEN cDNA 2700054A10 gene"
"Gm20754",0.337442084055581,0.0108,"3","predicted gene, 20754"
"Xkr4",-0.336663735095609,0.4024,"1","X-linked Kx blood group related 4"
"Itgb8",-0.336403199590731,0.2308,"12","integrin beta 8"
"Efna5",-0.336303063405177,0.1416,"17","ephrin A5"
"Pigbos1",-0.336071957133485,0.0676,"9","Pigb opposite strand 1"
"Ryr1",0.334337141252829,0.4336,"7","ryanodine receptor 1, skeletal muscle"
"Siva1",0.334191271766466,0.034,"12","SIVA1, apoptosis-inducing factor"
"Zfp874b",0.333709242624156,0.0668,"13","zinc finger protein 874b"
"Lamc3",-0.333674505531089,0.0672,"2","laminin gamma 3"
"Igfbp3",-0.333460016817137,0.0244,"11","insulin-like growth factor binding protein 3"
"Tie1",-0.332307706461462,0.0112,"4","tyrosine kinase with immunoglobulin-like and EGF-like domains 1"
"Pcp4l1",-0.332041307490631,0.0724,"1","Purkinje cell protein 4-like 1"
