"symbol","logFC","P.Value","chr","description"
"Cyp4f17",-0.412514962588895,0.0572,"17","cytochrome P450, family 4, subfamily f, polypeptide 17"
"Cabyr",-0.412412926290315,0.0624,"18","calcium-binding tyrosine-(Y)-phosphorylation regulated (fibrousheathin 2)"
"Mov10",-0.411746596476746,0.2848,"3","Mov10 RISC complex RNA helicase"
"Rpl37a",-0.411527465027958,0.266,"1","ribosomal protein L37a"
"Prox2",-0.410145888175225,0.3984,"12","prospero homeobox 2"
"Opalin",-0.410041045259502,0.2936,"19","oligodendrocytic myelin paranodal and inner loop protein"
"Ift43",-0.40988794495742,0.2904,"12","intraflagellar transport 43"
"Gng8",-0.409752562103639,0.5208,"7","guanine nucleotide binding protein (G protein), gamma 8"
"Tnfrsf25",-0.409204780188364,0.4472,"4","tumor necrosis factor receptor superfamily, member 25"
"Pcdh1",0.40881507908002,0.4304,"18","protocadherin 1"
"Snx29",0.408683340028952,0.228,"16","sorting nexin 29"
"Cavin3",-0.407680361594962,0.302,"7","caveolae associated 3"
"Ntf3",0.406981285717281,0.0276,"6","neurotrophin 3"
"Gm14569",0.406504584558225,0.0608,"X","predicted gene 14569"
"Snx7",0.40605314290715,0.0604,"3","sorting nexin 7"
"Dnah7b",-0.404338245284503,0.25,"1","dynein, axonemal, heavy chain 7B"
"Lrrc8c",0.403206626815042,0.3272,"5","leucine rich repeat containing 8 family, member C"
"Klf12",0.403077503255804,0.292,"14","Kruppel-like factor 12"
"Atf5",-0.403001625007292,0.1196,"7","activating transcription factor 5"
"Ankrd42",0.402868434324977,0.1392,"7","ankyrin repeat domain 42"
"Ptgs2",0.402867896556577,0.058,"1","prostaglandin-endoperoxide synthase 2"
"2510002D24Rik",-0.402825746103397,0.1588,"16","RIKEN cDNA 2510002D24 gene"
"Spata24",-0.402123591997326,0.0556,"18","spermatogenesis associated 24"
"Arfgef3",0.401679859569541,0.5312,"10","ARFGEF family member 3"
"Spopl",0.401511013458524,0.1504,"2","speckle-type BTB/POZ protein-like"
"Cckbr",0.401242987201747,0.3728,"7","cholecystokinin B receptor"
"Lpcat2",0.401200178783651,0.3936,"8","lysophosphatidylcholine acyltransferase 2"
"Sbsn",-0.400950867245969,0.0244,"7","suprabasin"
"Ifitm2",-0.400924387398901,0.3612,"7","interferon induced transmembrane protein 2"
"Trip11",0.400323567464484,0.4904,"12","thyroid hormone receptor interactor 11"
"Plxdc1",-0.400308944214123,0.2396,"11","plexin domain containing 1"
"S100a16",-0.399527215026385,0.2752,"3","S100 calcium binding protein A16"
"Arntl",0.399333068059458,0.0804,"7","aryl hydrocarbon receptor nuclear translocator-like"
"Plcl1",0.398390685749989,0.0888,"1","phospholipase C-like 1"
"Lmo1",-0.398290494443313,0.2212,"7","LIM domain only 1"
"Lpp",0.398224509543564,0.194,"16","LIM domain containing preferred translocation partner in lipoma"
"Siah1b",0.396744111431967,0.0456,"X","siah E3 ubiquitin protein ligase 1B"
"Slc26a11",-0.396143412649009,0.1764,"11","solute carrier family 26, member 11"
"Dancr",-0.396102727158251,0.0652,"5","differentiation antagonizing non-protein coding RNA"
"Gm32856",-0.395984432352714,0.056,"8","predicted gene, 32856"
"Zfp369",0.395918626050164,0.5268,"13","zinc finger protein 369"
